gene_id,NC-1_FPKM,NC-2_FPKM,NC-3_FPKM,si-hnrnpa2b1-1_FPKM,si-hnrnpa2b1-2_FPKM,si-hnrnpa2b1-3_FPKM,NC-1_count,NC-2_count,NC-3_count,si-hnrnpa2b1-1_count,si-hnrnpa2b1-2_count,si-hnrnpa2b1-3_count
ENSRNOG00000016645,4.699600573,5.157205648,4.962316499,5.103458934,5.748310597,5.518988439,250,261,277,294,320,307
ENSRNOG00000045819,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000016647,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000002459,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000060518,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000060519,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000060510,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000060511,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000060512,0,0,0,0.193710627,0,0,0,0,0,1,0,0
ENSRNOG00000060513,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000060514,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000060515,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000060516,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000060517,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000031380,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000023951,0.312404788,0.229855666,0.267935186,0.057707453,0.29852707,0.268886576,10,7,9,2,10,9
ENSRNOG00000023953,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000047402,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000041675,0,1.235847348,0,0,0,0,0,2,0,0,0,0
ENSRNOG00000031385,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000011595,5.794932815,4.720709039,4.418013224,6.488240585,3.599442982,4.918368312,80,62,64,97,52,71
ENSRNOG00000011591,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000011592,78.8305316,73.17715148,74.49516741,74.21468298,68.20728664,69.9183416,3226,2849,3199,3289,2921,2992
ENSRNOG00000011593,1.363571827,0.398129737,0.649721425,0.419739667,0.579152105,0.507125296,18,5,9,6,8,7
ENSRNOG00000011598,0,0.024708779,0,0,0,0.022471385,0,1,0,0,0,1
ENSRNOG00000011599,3.999461407,3.65340876,4.310506795,3.839700833,3.594322784,3.809548034,252,219,285,262,237,251
ENSRNOG00000017998,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000017996,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000017997,3.346016484,2.783295085,3.096941185,3.534332091,3.519461343,4.212753419,139,110,135,159,153,183
ENSRNOG00000017993,3.956445511,3.070047045,3.138726307,2.830929588,4.11722328,3.466636585,191,141,159,148,208,175
ENSRNOG00000017990,129.0586801,140.3063975,127.1909488,140.3370549,128.6221542,127.1621662,8081,8358,8357,9516,8428,8326
ENSRNOG00000017991,4.737730831,3.531860808,5.219427988,3.940482691,3.2750668,4.69142006,141,100,163,127,102,146
ENSRNOG00000024577,4.072303815,3.113103115,3.175231518,3.272046582,2.223664819,3.236912289,77,56,63,67,44,64
ENSRNOG00000019842,0.32067737,0.280874397,0.611141049,0.493517072,0.204291445,0.408857298,6,5,12,10,4,8
ENSRNOG00000019843,23.80926747,26.32733166,22.68979371,15.020005,20.38650718,19.38757443,404,425,404,276,362,344
ENSRNOG00000019840,6.193663163,4.892559198,5.687802711,6.100594196,5.380505283,4.487157946,165,124,159,176,150,125
ENSRNOG00000019846,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000047419,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000015177,36.62827769,33.27338197,36.9029186,31.60428692,33.71990875,32.08901996,1311,1133,1386,1225,1263,1201
ENSRNOG00000019848,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000047415,0,0,0,0,0,0,0,0,0,0,0,0
